Store Name,Address,Contact,Latitude,Longitude,Store URL,formatted_address,street_number,route,locality,admin_area_3,admin_area_2,admin_area_1,country,country_code,postal_code,latitude,longitude
Toirano,"Via Mainero, 8, 17055 Toirano , SV","0182 98372, ",44.124741,8.210707,https://www.pampanorama.it/punti-vendita/toirano,"Via Pietro Mainero, 28, 17055 Toirano SV, Italy",28,Via Pietro Mainero,Toirano,Toirano,Provincia di Savona,Liguria,Italy,IT,17055,44.1247428,8.2107159
Borghetto Santo Spirito,"Via Ponti, 53/R, 17052 Borghetto Santo Spirito , SV","0182973362, ",44.115801,8.246224,https://www.pampanorama.it/punti-vendita/pam-borghetto-santo-spirito,"Via Ponti, 39, 17052 Borghetto Santo Spirito SV, Italy",39,Via Ponti,Borghetto Santo Spirito,Borghetto Santo Spirito,Provincia di Savona,Liguria,Italy,IT,17052,44.115757,8.24624
Ispra Fermi,"Via Enrico Fermi, 857, 21027 Ispra , VA","0332780092, ",45.800374,8.627888,https://www.pampanorama.it/punti-vendita/ispra-fermi,"Via Enrico Fermi, 933, 21020 Ispra VA, Italy",933,Via Enrico Fermi,,Ispra,Provincia di Varese,Lombardia,Italy,IT,21020,45.8004032,8.6279316
Vado,"Via Diaz, 23, 17047 Vado Ligure , SV","019 882274, ",44.2701,8.43751,https://www.pampanorama.it/punti-vendita/vado,"Via Vittorio Emanuele II, 10, 17047 Vado Ligure SV, Italy",10,Via Vittorio Emanuele II,Vado Ligure,Vado Ligure,Provincia di Savona,Liguria,Italy,IT,17047,44.2701107,8.4375322
Bergamo Largo Porta Nuova,"Via Largo Porta Nuova, 9, 24122 Bergamo , BG",", ",45.69371,9.67015,https://www.pampanorama.it/punti-vendita/pam-largo-porta-nuova,"Largo Porta Nuova, 9, 24122 Bergamo BG, Italy",9,Largo Porta Nuova,Bergamo,Bergamo,Provincia di Bergamo,Lombardia,Italy,IT,24122,45.6937171,9.670174099999999
Bergamo,"Via Camozzi, 115, 24121 Bergamo , BG","0351/9909238, ",45.698101,9.6768904,https://www.pampanorama.it/punti-vendita/bergamo-metro,"Via G. Camozzi, 119, 24121 Bergamo BG, Italy",119,Via G. Camozzi,Bergamo,Bergamo,Provincia di Bergamo,Lombardia,Italy,IT,24121,45.69814280000001,9.676970899999999
Bergamo Borgo Palazzo,"via Borgo Palazzo 35, 24125 Bergamo , BG","035/19909288, ",45.6973991,9.6810303,https://www.pampanorama.it/punti-vendita/borgo-palazzo,"Via Borgo Palazzo, 35, 24125 Bergamo BG, Italy",35,Via Borgo Palazzo,Bergamo,Bergamo,Provincia di Bergamo,Lombardia,Italy,IT,24125,45.6973414,9.68107
Albano Laziale,"Corso Matteotti, 66, 00041 Albano Laziale , RM","0693269567, ",41.72763,12.65984,https://www.pampanorama.it/punti-vendita/albano-laziale,"Corso Giacomo Matteotti, 191, 00041 Albano Laziale RM, Italy",191,Corso Giacomo Matteotti,Albano Laziale,Albano Laziale,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00041,41.7276457,12.6598809
Albano Risorgimento,"Piazza Risorgimento, 9, 00041 Albano Laziale , RM","069321476, ",41.72528,12.66357,https://www.pampanorama.it/punti-vendita/albano-risorgimento,"Via Risorgimento, 4, 00041 Albano Laziale RM, Italy",4,Via Risorgimento,Albano Laziale,Albano Laziale,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00041,41.7252661,12.6635752
Ariccia,"Via Nettunense, 25, 00072 Ariccia - Pavona , RM","06/930182200, ",41.7168999,12.6240997,https://www.pampanorama.it/punti-vendita/panorama-ariccia,"Via Nettunense, 25-27, 00040 Ariccia RM, Italy",25-27,Via Nettunense,Ariccia,Albano Laziale,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00040,41.7169391,12.6242603
Formello,"V.le Africa, 134 - Loc. Le Rughe, 00060 Formello , RM","06/9087280, ",42.0684013,12.3779001,https://www.pampanorama.it/punti-vendita/formello,"Viale delle Rughe, 154, 00060 Le Rughe RM, Italy",154,Viale delle Rughe,Le Rughe,Formello,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00060,42.06833779999999,12.3778503
Nettuno,"Via Ugo La Malfa, 48, 00048 Nettuno , RM","06/9807386, ",41.4632988,12.6669998,https://www.pampanorama.it/punti-vendita/roma-nettuno,"Via Ugo la Malfa, 7, 00048 Nettuno RM, Italy",7,Via Ugo la Malfa,Nettuno,Nettuno,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00048,41.46338,12.6676675
Marino,"Via Costa Batocchi, 24, 00047 Marino , RM","069367482, ",41.77041,12.65582,https://www.pampanorama.it/punti-vendita/marino-batocchi,"Via Costa Batocchi, 5, 00047 Marino RM, Italy",5,Via Costa Batocchi,Marino,Marino,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00047,41.7704383,12.6558194
Roma Meldola,"Via Meldola 57/63, 00143 Roma , RM","0689371426, ",41.823626,12.505654,https://www.pampanorama.it/punti-vendita/pam-roma-meldola,"Via Andrea Meldola, 55, 00143 Roma RM, Italy",55,Via Andrea Meldola,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00143,41.8236606,12.5056598
Granai,"Via M. Rigamonti, 100, 00142 Roma , RM","06/5159011, ",41.8370018,12.5037003,https://www.pampanorama.it/punti-vendita/roma-granai,"Via Mario Rigamonti, 100, 00142 Roma RM, Italy",100,Via Mario Rigamonti,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00142,41.8369267,12.5036337
Roma Biondi,"Via Gian Francesco Biondi, 15, 00143 Roma , RM","065012545, ",41.8171997,12.4896002,https://www.pampanorama.it/punti-vendita/roma-biondi,"Piazza Lodovico Cerva, 7, 00143 Roma RM, Italy",7,Piazza Lodovico Cerva,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00143,41.8170698,12.4894973
Roma Simone Martini,"Via Simone Martini 19, 00142 Roma , RM","06 51963498, ",41.8302002,12.4883003,https://www.pampanorama.it/punti-vendita/roma-simonemartini,"Via Simone Martini, 7, 00142 Roma RM, Italy",7,Via Simone Martini,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00142,41.8301648,12.4883981
Roma Laurentino,"Via Laurentina, 865, 00143 Roma , RM","06/93379290, ",41.83922,12.48074,https://www.pampanorama.it/punti-vendita/roma-laurentino,"Via Laurentina, 132, 00142 Roma RM, Italy",132,Via Laurentina,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00142,41.8394033,12.4805569
Roma Montagne Rocciose,"Via Montagne Rocciose, 95, 00144 Roma , RM","06/89371448, ",41.82488,12.47541,https://www.pampanorama.it/punti-vendita/roma-montagne-rocciose,"Via delle Montagne Rocciose, 95, 00144 Roma RM, Italy",95,Via delle Montagne Rocciose,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00144,41.8248785,12.4754845
ROMA Cesare Pavese,"Via Cesare Pavese, 397, Roma , RM",", ",,,https://www.pampanorama.it/punti-vendita/roma-cesare-pavese,"Viale Cesare Pavese, 397, 00144 Roma RM, Italy",397,Viale Cesare Pavese,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00144,41.8171776,12.4684651
Roma Torrino,"Via A. di Decima - ang. Via C. Troiani, 00144 Roma , RM","06/52205596, ",41.8129997,12.4518004,https://www.pampanorama.it/punti-vendita/roma-torrino,"NUOVO NEGOZIO: Via di Decima 216/218 VIVAIO:, Via Caterina Troiani, 6, 00144 Roma RM, Italy",6,Via Caterina Troiani,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00144,41.8129483,12.4519282
Roma Fiume Bianco,"Via Fiume Bianco, 42, 00144 Roma , RM","06 44245302, ",41.814963,12.440235,https://www.pampanorama.it/punti-vendita/roma-fiume-bianco,"Via Fiume Bianco, 42, 00144 Roma RM, Italy",42,Via Fiume Bianco,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00144,41.814826,12.440294
Civitavecchia,"Piazza Vittorio Emanuele 11/13, 00053 Civitavecchia , RM",", ",42.0920982,11.7908001,https://www.pampanorama.it/punti-vendita/civitavecchia,"Calata Principe Tommaso, 18, 00053 Civitavecchia RM, Italy",18,Calata Principe Tommaso,Civitavecchia,Civitavecchia,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00053,42.0920627,11.7909527
Civitavecchia Nenni,"Via Nenni 32, 00053 Civitavecchia , RM","0766546226, ",42.095092,11.816212,https://www.pampanorama.it/punti-vendita/pam-civitavecchia-nenni,"Via Pietro Nenni, 49, 00053 Civitavecchia RM, Italy",49,Via Pietro Nenni,Civitavecchia,Civitavecchia,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00053,42.0949009,11.8163281
Ostia,"Via dell'Appagliatore, 00121 Roma , RM","06/56200311, ",41.7412987,12.2735996,https://www.pampanorama.it/punti-vendita/panorama-ostia,"Via delle Azzorre, 179, 00121 Lido di Ostia RM, Italy",179,Via delle Azzorre,Lido di Ostia,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00121,41.7412086,12.2736171
Ostia Gondole,"Via delle Gondole, 94, 00121 Ostia , RM","06/89320375, ",41.7356987,12.2764998,https://www.pampanorama.it/punti-vendita/pam-local-ostia-gondole,"Via dei Panfili, 59, 00100 Lido di Ostia RM, Italy",59,Via dei Panfili,Lido di Ostia,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00100,41.7356443,12.276526
Roma Acilia,"Via G. Usellini, 287, 00125 Roma , RM","06/52453334, ",41.7723999,12.3781004,https://www.pampanorama.it/punti-vendita/roma-acilia,"Via Gianfilippo Usellini, 412, 00125 Roma RM, Italy",412,Via Gianfilippo Usellini,,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00125,41.77242589999999,12.3782836
Roma Bufalotta,"Via Passo di Falzarego, 19, 00139 Roma , RM","06/87132627, ",41.9869003,12.5642004,https://www.pampanorama.it/punti-vendita/roma-bufalotta,"Via Nicola Stenone, 87, 00139 La Cinquina - Bufalotta RM, Italy",87,Via Nicola Stenone,La Cinquina - Bufalotta,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00139,41.9874439,12.5639287
Roma Camerata Picena,"Via Camerata Picena, 385, 00138 Roma , RM","06 81177524, ",41.98515,12.51365,https://www.pampanorama.it/punti-vendita/roma-via-camerata-picena-retail-pro,"Via Camerata Picena, 375, 00138 Roma RM, Italy",375,Via Camerata Picena,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00138,41.9853135,12.513792
Roma De Filippo,"Via Titina De Filippo, 101, 00139 Roma , RM","06 8811837, ",41.96899,12.51589,https://www.pampanorama.it/punti-vendita/roma-via-de-filippo-retail-pro,"Viale Titina de Filippo, 101, 00139 Roma RM, Italy",101,Viale Titina de Filippo,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00139,41.9690693,12.5159371
Pavia XX Settembre,"Via XX Settembre, 22, 27100 Pavia , PV","0382 1755164, ",45.186318,9.15336,https://www.pampanorama.it/punti-vendita/pavia-xx-settembre,"Via XX Settembre, 20, 27100 Pavia PV, Italy",20,Via XX Settembre,Pavia,Pavia,Provincia di Pavia,Lombardia,Italy,IT,27100,45.1862985,9.1533438
Pavia Via Varese,"Via Varese, 5, 27100 Pavia , PV","3757095383, ",45.184650418179466,9.156041002421034,https://www.pampanorama.it/punti-vendita/pam-pavia-varese,"Piazza del Lino, 2, 27100 Pavia PV, Italy",2,Piazza del Lino,Pavia,Pavia,Provincia di Pavia,Lombardia,Italy,IT,27100,45.1846634,9.1560288
Torrimpietra,"Via Aurelia Km 28, 00050 Torrimpietra , RM","0661697385, ",41.916836,12.200711,https://www.pampanorama.it/punti-vendita/pam-torrimpietra,"Via Eucario Siber, 21, 00050 Centro Tre Denari RM, Italy",21,Via Eucario Siber,Centro Tre Denari,Fiumicino,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00050,41.916967,12.2007525
Monterotondo,"Viale Bruno Buozzi, 15, 00015 Monterotondo , RM","06/90624007, ",42.0498009,12.6248999,https://www.pampanorama.it/punti-vendita/monterotondo,"Viale Bruno Buozzi, 35, 00015 Monterotondo RM, Italy",35,Viale Bruno Buozzi,Monterotondo,Monterotondo,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00015,42.0497812,12.6249544
Torvaianica Dora Riparia,"Via Dora Riparia, 36A ang. Via Lambro, 3, 00071 Pomezia Loc. Torvaianica , RM","333.9316719, ",41.656003,12.427767,https://www.pampanorama.it/punti-vendita/torvaianica-dora-riparia-pam,"Via Dora Riparia, 36a, 00071 Torvaianica RM, Italy",36a,Via Dora Riparia,Torvaianica,Pomezia,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00071,41.65590760000001,12.4278373
Roma Botteghe Oscure,"Via delle Botteghe Oscure, 3, 00186 Roma , RM","06/89320361, ",41.8951988,12.4797001,https://www.pampanorama.it/punti-vendita/pam-local-roma-botteghe-oscure,"Via d'Aracoeli, 27, 00186 Roma RM, Italy",27,Via d'Aracoeli,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00186,41.8952027,12.4797073
Roma Funari,"Via dei Funari 21, Roma, Roma , RM",", ",41.89382042144752,12.478327164840602,https://www.pampanorama.it/punti-vendita/roma-funari,"Via dei Funari, 21, 00186 Roma RM, Italy",21,Via dei Funari,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00186,41.89377650000001,12.4783218
Roma Fontanella di Borghese,"Via della Fontanella di Borghese, 20, 00186 Roma , RM","066876392, ",41.903901,12.47704,https://www.pampanorama.it/punti-vendita/pam-roma-fontanella-di-borghese,"Piazza del Porto di Ripetta, 1, 00186 Roma RM, Italy",1,Piazza del Porto di Ripetta,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00186,41.903921,12.4770392
Roma Panisperna,"Via Panisperna, 75, 00184 Roma , RM","06 45502583, ",41.896643,12.491728,https://www.pampanorama.it/punti-vendita/roma-panisperna,"Via Panisperna, 77, 00184 Roma RM, Italy",77,Via Panisperna,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00184,41.8966666,12.4917908
Roma Barberini,"via Barberini 10-16, 00187 Roma , RM","0645751857, ",41.9040985,12.4884996,https://www.pampanorama.it/punti-vendita/roma-barberini,"Barberini, 00187 Roma RM, Italy",,,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00187,41.904138,12.4887446
Roma Quattro Fontane,"Via delle Quattro Fontane, 38, 00184 Roma , RM","06 / 45519032, ",41.9007988,12.4927998,https://www.pampanorama.it/punti-vendita/pam-local-roma-quattro-fontane,"Via delle Quattro Fontane, 108, 00184 Roma RM, Italy",108,Via delle Quattro Fontane,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00184,41.9007428,12.4927345
Roma Urbana,"via Urbana, 9, 00184 Roma , RM","06/93567284, ",41.8975983,12.4942999,https://www.pampanorama.it/punti-vendita/roma-urbana,"Via Caprareccia, 13, 00184 Roma RM, Italy",13,Via Caprareccia,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00184,41.89763310000001,12.4944698
Roma C.so V. Emanuele,"C.so Vittorio Emanuele II, 235, 00186 Roma , RM","0645424663, ",41.8978996,12.4693003,https://www.pampanorama.it/punti-vendita/pam-local-roma-c-so,"Via della Chiesa Nuova, 21, 00186 Roma RM, Italy",21,Via della Chiesa Nuova,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00186,41.8980049,12.4694039
Roma Santi Quattro,"Via dei Santi Quattro 35/A – 00184 Roma (RM), Roma , RM",", ",41.88920473947076,12.495694093635125,https://www.pampanorama.it/punti-vendita/roma-santi-quattro,"Via dei SS. Quattro, 73, 00184 Roma RM, Italy",73,Via dei SS. Quattro,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00184,41.8892587,12.4956804
Roma XX Settembre,"Via XX Settembre, 20/E, 00187 Roma , RM","06/87936937, ",41.9053001,12.4953003,https://www.pampanorama.it/punti-vendita/roma-settembre,"Via Venti Settembre, 20, 00187 Roma RM, Italy",20,Via Venti Settembre,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00187,41.90529189999999,12.4953565
Roma Boncompagni,"Via Boncompagni, 95, 00187 Roma , RM","06/45674227, ",41.9090004,12.4951,https://www.pampanorama.it/punti-vendita/pam-local-boncompagni,"Via Boncompagni, 71m, 00187 Roma RM, Italy",71m,Via Boncompagni,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00187,41.9090646,12.4953376
Roma Vitelleschi,"Via Giovanni Vitelleschi, 2, 00193 Roma , RM","06/45654972, ",41.904392,12.46286,https://www.pampanorama.it/punti-vendita/roma-vitelleschi,"Via Giovanni Vitelleschi, 2, 00193 Roma RM, Italy",2,Via Giovanni Vitelleschi,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00193,41.904398,12.4628625
Roma Terenzio,"Via Terenzio, 29, 00186 Roma , RM","06/45493276, ",41.9063988,12.4632998,https://www.pampanorama.it/punti-vendita/pam-local-terenzio,"Via Terenzio, 27, 00193 Roma RM, Italy",27,Via Terenzio,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00193,41.9063467,12.463313
Roma Piave,"Via Piave 45, 00187 Roma , RM","06/45751859, ",41.9099999,12.4990997,https://www.pampanorama.it/punti-vendita/roma-piave,"Via Augusto Valenziani, 15, 00187 Roma RM, Italy",15,Via Augusto Valenziani,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00187,41.9100751,12.4990132
Roma Salaria,"Via Salaria 55-57, 00198 Roma , RM","06 45519198, ",41.9124985,12.4976997,https://www.pampanorama.it/punti-vendita/roma-salaria,"Via Salaria, 51, 00198 Roma RM, Italy",51,Via Salaria,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00198,41.9124843,12.4976757
Roma S.M. della Battaglia,"Via San Martino della Battaglia, 30, 00185 Roma , RM","06/87720478, ",41.9057999,12.5044003,https://www.pampanorama.it/punti-vendita/pam-local-roma-s-m,"Via Sommacampagna, 4, 00185 Roma RM, Italy",4,Via Sommacampagna,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00185,41.9057884,12.5044538
Roma Mordini,"Via Antonio Mordini 11, 00195 Roma , RM","06/87716036, ",41.9138985,12.4640999,https://www.pampanorama.it/punti-vendita/roma-mordini,"Via Antonio Mordini, 11, 00195 Roma RM, Italy",11,Via Antonio Mordini,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00195,41.9139219,12.4640999
Roma Alessandria,"Via Alessandria 177, 00198 Roma , RM","06/45569783, ",41.9134995,12.5027012,https://www.pampanorama.it/punti-vendita/roma-alessandria,"V. Nizza, 136a, 00187 Roma RM, Italy",136a,Via Nizza,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00187,41.9134559,12.5026435
Roma Carini,"Via Carini 85, 00152 Roma , RM","06 45552392, ",41.8832016,12.4588003,https://www.pampanorama.it/punti-vendita/local-carini,"Viale dei Quattro Venti, 47, 00152 Roma RM, Italy",47,Viale dei Quattro Venti,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00152,41.8832272,12.4588228
Roma Quattro Venti,"Viale dei Quattro Venti 81 - 83, 00152 Roma , RM","06/45751870, ",41.8820992,12.4588003,https://www.pampanorama.it/punti-vendita/roma-quattroventi,"Viale dei Quattro Venti, 79, 00152 Roma RM, Italy",79,Viale dei Quattro Venti,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00152,41.8821286,12.4589224
Roma Filiberto,"Via Emanuele Filiberto, 180, 00185 Roma , RM",", ",41.8872986,12.5086002,https://www.pampanorama.it/punti-vendita/roma-filiberto,"Via Emanuele Filiberto, 180, 00185 Roma RM, Italy",180,Via Emanuele Filiberto,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00185,41.8872519,12.508559
Roma San Paolo II,"Via San Paolo II, 9a, 00165 Roma , RM","06 94358039, ",41.89816,12.453519,https://www.pampanorama.it/punti-vendita/city-roma-san-paolo-ii,"Via Paolo II, 9a, 00165 Roma RM, Italy",9a,Via Paolo II,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00165,41.8982004,12.4535694
Roma Taranto,"Via Taranto, 2, 00182 Roma , RM",", ",41.885163,12.511522,https://www.pampanorama.it/punti-vendita/pam-local-roma-taranto,"Via Taranto, 6, 00182 Roma RM, Italy",6,Via Taranto,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00182,41.8851344,12.5115768
Roma Circonvallazione Ostiense,"Circonvallazione Ostiense, 270/280, 00154 Roma , RM","0645519304, ",41.8670998,12.4940996,https://www.pampanorama.it/punti-vendita/roma-ostiense,"Largo Angelo Fochetti, 347, 00154 Roma RM, Italy",347,Largo Angelo Fochetti,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00154,41.8674584,12.4941833
Roma Caselli,"Via Caselli 71, 00149 Roma , RM","065561945, ",41.86964,12.463702,https://www.pampanorama.it/punti-vendita/pam-roma-caselli,"Via Giovanni Caselli, 67, 00149 Roma RM, Italy",67,Via Giovanni Caselli,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00149,41.8696505,12.46364
Roma Fermi,"via Fermi, 29, Roma , RM",", ",41.864552,12.47044,https://www.pampanorama.it/punti-vendita/roma-fermi,"Via Roberto Marcolongo, 1, 00146 Roma RM, Italy",1,Via Roberto Marcolongo,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00146,41.8645634,12.4704067
Roma Appia,"Via Appia Nuova, 189, 00183 Roma , RM","0642990495, ",41.88034,12.51621,https://www.pampanorama.it/punti-vendita/roma-appia,"Via Appia Nuova, 189, 00182 Roma RM, Italy",189,Via Appia Nuova,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00182,41.8803497,12.5162156
Roma Baccarini,"Via Baccarini 22a, angolo via Amari 1, 00149 Roma , RM","0687663377, ",41.8753014,12.5165005,https://www.pampanorama.it/punti-vendita/roma-baccarini,"Via Michele Amari, 10, 00179 Roma RM, Italy",10,Via Michele Amari,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00179,41.8753166,12.516417
Roma Ravenna,"Via Ravenna, 47, 00161 Roma , RM","06/45590545, ",41.91332,12.51954,https://www.pampanorama.it/punti-vendita/roma-ravenna,"Via Ravenna, 45, 00161 Roma RM, Italy",45,Via Ravenna,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00161,41.9133285,12.5195074
Valle Aurelia,"Viale di Valle Aurelia, 32, 00147 Roma , RM","06 9667 8013, ",41.9025993,12.4389,https://www.pampanorama.it/punti-vendita/pam-valle-aurelia,"Via di Valle Aurelia, 62, 00167 Roma RM, Italy",62,Via di Valle Aurelia,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00167,41.9024625,12.438935
Roma Colli Portuensi,"Via dei Colli Portuensi, 191, 00151 Roma , RM","065373736, ",41.870679,12.443484,https://www.pampanorama.it/punti-vendita/pam-roma-colli-portuensi,"Viale dei Colli Portuensi, 187/6, 00151 Roma RM, Italy",187/6,Viale dei Colli Portuensi,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00151,41.870611,12.4434752
Roma Furio Camillo,"Viale Furio Camillo, 57, 00179 Roma , RM",", ",41.87582,12.52419,https://www.pampanorama.it/punti-vendita/furio-camillo,"Viale Furio Camillo, 65, 00181 Roma RM, Italy",65,Viale Furio Camillo,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00181,41.8758287,12.5241292
Roma Balduina,"Piazza della Balduina, 48, 00136 Roma , RM","0635340309, ",41.9189987,12.4407997,https://www.pampanorama.it/punti-vendita/roma-balduina,"Piazza della Balduina, 52, 00136 Roma RM, Italy",52,Piazza della Balduina,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00136,41.9189684,12.4409759
Roma Tiburtina,"P.le della Stazione Tiburtina 11, 00162 Roma , RM","06/45519210, ",41.9098015,12.5305004,https://www.pampanorama.it/punti-vendita/roma-tiburtina,"Staz.Ne Tiburtina (Mb), 00162 Roma RM, Italy",,,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00162,41.9098039,12.5304761
Roma Boccea,"Via Di Boccea, 45, 00165 Roma , RM","06 / 89371431, ",41.9000015,12.4285002,https://www.pampanorama.it/punti-vendita/pam-local-roma-boccea,"Via di Boccea, 45, 00165 Roma RM, Italy",45,Via di Boccea,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00165,41.89994919999999,12.4284754
Roma Serafini,"Via Serafini, 98, 00164 Roma , RM","0645429270, ",41.877194,12.428505,https://www.pampanorama.it/punti-vendita/roma-serafini,"Via Camillo Serafini, 98, 00164 Roma RM, Italy",98,Via Camillo Serafini,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00164,41.8772053,12.428458
Tiburtina,"Via Tiburtina, 757, 00159 Roma , RM","06/41790701, ",41.9126015,12.5542002,https://www.pampanorama.it/punti-vendita/tiburtina,"Via Tiburtina, 755, 00157 Roma RM, Italy",755,Via Tiburtina,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00157,41.9126087,12.5539709
Aurelia,"Via Aurelia, 822, 00165 Roma , RM","06 6650051, ",41.8879013,12.4041004,https://www.pampanorama.it/punti-vendita/aurelia,"V. Aurelia, 830, 00165 Roma RM, Italy",830,Via Aurelia,Roma,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00165,41.888002,12.4039333
Boccea,"Via G. Frontali, 14, 00166 Roma , RM","06/61523811, ",41.9123993,12.3896999,https://www.pampanorama.it/punti-vendita/boccea,"Via Gino Frontali, 9, 00166 Roma RM, Italy",9,Via Gino Frontali,,Roma,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00166,41.9119804,12.3893461
Santa Marinella,"Via Etruria 70, 00058 Santa Marinella , RM","0766536700, ",42.039594,11.832954,https://www.pampanorama.it/punti-vendita/pam-santa-marinella,"Via dell' Etruria, 70/1, 00058 Santa Marinella RM, Italy",70/1,Via dell' Etruria,Santa Marinella,Santa Marinella,Città metropolitana di Roma Capitale,Lazio,Italy,IT,00058,42.0395663,11.8329024
Altopascio,"Via Romana, 55011 Altopascio , LU","0583/276053, ",43.8282013,10.6477003,https://www.pampanorama.it/punti-vendita/altopascio,"Via Romana, 102, 55015 Turchetto LU, Italy",102,Via Romana,Turchetto,Montecarlo,Provincia di Lucca,Toscana,Italy,IT,55015,43.828346,10.6476469
Grosio,"Via Roma, 41 – 23033 Grosio (S0), Grosio , SO",", ",46.298654,10.274893,https://www.pampanorama.it/punti-vendita/pam-grosio,"Via Roma, 41, 23033 Grosio SO, Italy",41,Via Roma,Grosio,Grosio,Provincia di Sondrio,Lombardia,Italy,IT,23033,46.2985659,10.2748975
Genova Voltri,"Via Don Giovanni Verità, 6/R, 16158 Genova , GE","010/6121304, ",44.428299,8.7527504,https://www.pampanorama.it/punti-vendita/genova-voltri,"Via Don Giovanni Verità, 45, 16158 Genova GE, Italy",45,Via Don Giovanni Verità,Genova,Genova,Città Metropolitana di Genova,Liguria,Italy,IT,16158,44.4282748,8.752757599999999
