Store Name,Address,Contact,Latitude,Longitude,Store URL,formatted_address,street_number,route,locality,admin_area_3,admin_area_2,admin_area_1,country,country_code,postal_code,latitude,longitude,Shop ID
Bologna Corticella,"Via di Corticella, 3, 40139 Bologna , BO","051/356403, ",44.5130005,11.3476,https://www.pampanorama.it/punti-vendita/bologna-corticella,"Via di Corticella, 216/7, 40128 Bologna BO, Italy",216/7,Via di Corticella,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40128.0,44.5128557,11.3473666,67e2d42ac1670104499c13d5
Bologna Berti Pichat,"Viale Carlo Berti Pichat, 32 ang. San Donato, 40132 Bologna , BO","051/5885955, ",44.4987984,11.3546,https://www.pampanorama.it/punti-vendita/bologna-berti-pichat,"Via Irnerio, 48, 40126 Bologna BO, Italy",48,Via Irnerio,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40126.0,44.4986721,11.3547908,67e2d42ac1670104499c13da
Bologna Murri,"Via Murri, 4, 40122 Bologna , BO","051344490, ",44.4838944,11.355505,https://www.pampanorama.it/punti-vendita/bologna-murri,"Via Santa Chiara, 6, 40137 Bologna BO, Italy",6,Via Santa Chiara,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40137.0,44.4836793,11.3550961,67e2d42ac1670104499c13df
Bologna Piazza Trento e Trieste,"Piazza Trento e Trieste 1, 40137 Bologna , BO","051/3781347, ",44.4878006,11.3624001,https://www.pampanorama.it/punti-vendita/bologna-trento-trieste,"Via Mazzini, 47A, 40137 Bologna BO, Italy",47A,Via Mazzini,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40137.0,44.4878383,11.3624907,67e2d42ac1670104499c13e4
Bologna Orti,"Via degli Orti, 13, 40137 Bologna , BO","051/5880077, ",44.478199,11.3681002,https://www.pampanorama.it/punti-vendita/pam-local-bologna-orti,"Via degli Orti, 11e, 40137 Bologna BO, Italy",11e,Via degli Orti,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40137.0,44.4780812,11.3680394,67e2d42ac1670104499c13e9
Bologna Dagnini,"Via Dagnini, 46, 40137 Bologna , BO","051/0563637, ",44.4822998,11.3704996,https://www.pampanorama.it/punti-vendita/bologna-dagnini,"Via Giampietro Zanotti, 22, 40137 Bologna BO, Italy",22,Via Giampietro Zanotti,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40137.0,44.4823512,11.370498,67e2d42ac1670104499c13ee
Vairano Patenora,"Via Patenara, Vairano Patenora , CE","0823744715, ",41.333468,14.115413,https://www.pampanorama.it/punti-vendita/vairano-patenora,"V. Patenara, snc, 81058 Vairano Patenora CE, Italy",snc,Via Patenara,,Vairano Patenora,Provincia di Caserta,Campania,Italy,IT,81058.0,41.333641,14.1152982,
Pignataro Maggiore,"Via Siani, 7, 81052 Pignataro Maggiore , CE","0823-1444249, ",41.190925,14.159177,https://www.pampanorama.it/punti-vendita/pignataro-maggiore,"Via Giancarlo Siani, 7, 81052 Pignataro Maggiore CE, Italy",7,Via Giancarlo Siani,,Pignataro Maggiore,Provincia di Caserta,Campania,Italy,IT,81052.0,41.1903832,14.1594506,
Ferrara Bersaglieri,"Via Bersaglieri del Po’, 58, 44121 Ferrara , FE","05321864379, ",44.83572,11.621682,https://www.pampanorama.it/punti-vendita/pam-ferrara-bersaglieri,"Via Bersaglieri del Po, 58, 44121 Ferrara FE, Italy",58,Via Bersaglieri del Po,Ferrara,Ferrara,Provincia di Ferrara,Emilia-Romagna,Italy,IT,44121.0,44.835671,11.6217126,67e2d42ac1670104499c13f3
Mazzini,"Via G. Mazzini, 90, 44121 Ferrara , FE","0532229614, ",44.83357,11.62216,https://www.pampanorama.it/punti-vendita/ferrara-mazzini,"Via Giuseppe Mazzini, 90, 44121 Ferrara FE, Italy",90,Via Giuseppe Mazzini,Ferrara,Ferrara,Provincia di Ferrara,Emilia-Romagna,Italy,IT,44121.0,44.8335769,11.6221889,67e2d42bc1670104499c13f8
Curti Biagio Rosato,"Via Biagio Rosato, 86, Curti , CA",", ",41.07449,14.26641,https://www.pampanorama.it/punti-vendita/curti-via-biagio-rosato,"Via Biagio Rosato, 88, 81040 Curti CE, Italy",88,Via Biagio Rosato,Curti,Curti,Provincia di Caserta,Campania,Italy,IT,81040.0,41.0744795,14.2664229,67e2d42bc1670104499c13fd
Giugliano Palumbo,"Via Palumbo, 117, 80014 Giugliano in Campania , NA","081 8941709, ",40.92533,14.198421,https://www.pampanorama.it/punti-vendita/giugliano-via-palumbo-retail-pro,"Via Aniello Palumbo, 119, 80014 Giugliano in Campania NA, Italy",119,Via Aniello Palumbo,Giugliano in Campania,Giugliano in Campania,Città Metropolitana di Napoli,Campania,Italy,IT,80014.0,40.92534,14.1983135,67e2d42bc1670104499c1402
Marigliano Vittorio Emanuele,"Corso Vittorio Emanuele, 58, 80034 Marigliano , NA","081 8333986, ",40.923441,14.455853,https://www.pampanorama.it/punti-vendita/marigliano-corso-vittorio-emanuele-retail-pro,"Corso V. Emanuele III, 56, 80034 Marigliano NA, Italy",56,Corso V. Emanuele III,Marigliano,Marigliano,Città Metropolitana di Napoli,Campania,Italy,IT,80034.0,40.9234704,14.4559254,67e2d42bc1670104499c1407
Marigliano S.Francesco,"Via San Francesco, 72, 80034 Merigliano , NA","081 8416374, ",40.92899,14.46249,https://www.pampanorama.it/punti-vendita/marigliano-s-francesco-retail-pro,"Via S. Francesco, 74, 80034 Marigliano NA, Italy",74,Via San Francesco,Marigliano,Marigliano,Città Metropolitana di Napoli,Campania,Italy,IT,80034.0,40.9289369,14.462589,67e2d42bc1670104499c140c
Melito di Napoli Circumvallazione,"Circumvallazione Esterna, 54, 80017 Melito Di Napoli , NA","0817013148, ",40.91011,14.23015,https://www.pampanorama.it/punti-vendita/melito-di-napoli-circumvallazione,"SP1, 56, 80017 Melito di Napoli NA, Italy",56,Circumvallazione Esterna di Napoli,Melito di Napoli,Melito di Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80017.0,40.91012480000001,14.2302499,67e2d42bc1670104499c1411
Mugnano Sp Melito Mugnano,"Strada Provinciale Melito Mugnago, 184, 80018 Mugnano Di Napoli , NA","081 7100080, ",40.91815,14.22507,https://www.pampanorama.it/punti-vendita/mugnano-sp-melito-mugnano-retail-pro,"Via Strada Provinciale Mugnano Melito, 184, 80018 Melito di Napoli NA, Italy",184,Via Strada Provinciale Mugnano Melito,Melito di Napoli,Melito di Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80018.0,40.9181062,14.2252003,67e2d42bc1670104499c1416
Retailpro Casoria,"Via Don Luigi Sturzo - 26/36, Casoria , NA","0817580533, ",40.90142,14.28272,https://www.pampanorama.it/punti-vendita/retailpro-casoria,"Via Don Luigi Sturzo, 34, 80026 Casoria NA, Italy",34,Via Don Luigi Sturzo,Casoria,Casoria,Città Metropolitana di Napoli,Campania,Italy,IT,80026.0,40.9014539,14.282626,67e2d42bc1670104499c141b
Napoli Stadera,"Via Stadera, 76, 80143 Napoli , NA","081 5846434, ",40.87216,14.30169,https://www.pampanorama.it/punti-vendita/napoli-via-stadera-retail-pro,"Via della Stadera, 76a, 80143 Napoli NA, Italy",76a,Via della Stadera,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80143.0,40.87207069999999,14.301747,67e2d42bc1670104499c1420
Napoli Bramante,"Via Donato Bramante, 28, 80126 Napoli , NA","081 7145458, ",40.83621,14.21109,https://www.pampanorama.it/punti-vendita/napoli-via-bramante-retail-pro,"Via Donato Bramante, 26, 80126 Napoli NA, Italy",26,Via Donato Bramante,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80126.0,40.8361375,14.2110632,67e2d42bc1670104499c1425
Napoli Giordani,"Via Francesco Giordani, 10, 80122 Napoli , NA","081-168142, ",40.83532,14.22105,https://www.pampanorama.it/punti-vendita/napoli-giordani-retail-pro,"Via Francesco Giordani, 8, 80122 Napoli NA, Italy",8,Via Francesco Giordani,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80122.0,40.8354243,14.2210169,67e2d42bc1670104499c142a
Angri,"Via Semetelle - 46, Angri , SA","08118098264, ",40.743384,14.572542,https://www.pampanorama.it/punti-vendita/angri,"Via Semetelle, 314, 84012 Angri SA, Italy",314,Via Semetelle,Angri,Angri,Provincia di Salerno,Campania,Italy,IT,84012.0,40.743385,14.57254,67e2d42bc1670104499c142f
Pagani Tramontano,"Via Guido Tramontano, 34/36, 84016 Pagani , SA","081 5150991, ",40.74506,14.60884,https://www.pampanorama.it/punti-vendita/pagani-via-tramontano-retail-pro,"Via Tramontano Guido, 362, 84016 Pagani SA, Italy",362,Via Tramontano Guido,Pagani,Pagani,Provincia di Salerno,Campania,Italy,IT,84016.0,40.7450789,14.608897,67e2d42bc1670104499c1434
Pago Del Vallo Di Lauro,"Via Nazionale - 98 , Pago Del Vallo Di Lauro, Pago Del Vallo Di Lauro , AV",", ",,,https://www.pampanorama.it/punti-vendita/pago-del-vallo-di-lauro,"Via Nazionale, 98, 80030 Liveri NA, Italy",98,Via Nazionale,Liveri,Liveri,Città Metropolitana di Napoli,Campania,Italy,IT,80030.0,40.9028877,14.56602,67e2d42bc1670104499c1439
Napoli Minichini,"Via Abate Minichini, 27 Bis, 80137 Napoli , NA","081 5991679, ",40.8685,14.2268,https://www.pampanorama.it/punti-vendita/napoli-via-minichini-retail-pro,"Via Michele Pietravalle, 28, 80128 Napoli NA, Italy",28,Via Michele Pietravalle,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80128.0,40.8684495,14.2265706,67e2d42bc1670104499c143e
Sant'Anastasia Somma,"Via Somma, 74, Sant'Anastasia , NA","081 5315215, ",40.87043,14.41242,https://www.pampanorama.it/punti-vendita/sant-anastasia-via-somma,"Via Somma, 74, 80048 Sant'Anastasia NA, Italy",74,Via Somma,Sant'Anastasia,Sant'Anastasia,Città Metropolitana di Napoli,Campania,Italy,IT,80048.0,40.8702995,14.4124076,67e2d42bc1670104499c1443
San Salvo San Rocco,"Via San Rocco, SNC, 66100 San Salvo , CH","0873 452541, ",42.05197,14.73417,https://www.pampanorama.it/punti-vendita/san-salvo-via-san-rocco-retail-pro,"Via S. Rocco, 31, 66050 San Salvo CH, Italy",31,Via San Rocco,San Salvo,San Salvo,Provincia di Chieti,Abruzzo,Italy,IT,66050.0,42.0519126,14.7339971,67e2d42bc1670104499c1448
Pam Castellarano,"Centro commerciale Vittoria Via Radici Nord 31/T 42014 Castellarano (RE), Castellarano , Castellarano",", ",,,https://www.pampanorama.it/punti-vendita/pam-castellarano,"Via Radici Nord, 31, 42014 Castellarano RE, Italy",31,Via Radici Nord,Castellarano,Castellarano,Provincia di Reggio Emilia,Emilia-Romagna,Italy,IT,42014.0,44.5187411,10.7350823,67e2d42cc1670104499c144d
San Giorgio Galante,"Via Galante, 38/50, 80046 San Giorgio A Cremano , NA","081 275173, ",40.82584,14.33594,https://www.pampanorama.it/punti-vendita/san-giorgio-via-galante-retail-pro,"Via Gennaro Aspreno Galante, 48, 80046 San Giorgio a Cremano NA, Italy",48,Via Gennaro Aspreno Galante,San Giorgio a Cremano,San Giorgio a Cremano,Città Metropolitana di Napoli,Campania,Italy,IT,80046.0,40.8258411,14.3358978,67e2d42cc1670104499c1452
San Giorgio Manzoni,"Via Manzoni, 116/118, 80046 San Giorgio A C , NA","081 7714589, ",40.83737,14.34301,https://www.pampanorama.it/punti-vendita/san-giorgio-via-manzoni-retail-pro,"Via Alessandro Manzoni, 116, 80046 San Giorgio a Cremano NA, Italy",116,Via Alessandro Manzoni,San Giorgio a Cremano,San Giorgio a Cremano,Città Metropolitana di Napoli,Campania,Italy,IT,80046.0,40.8374033,14.3430803,67e2d42cc1670104499c1457
San Giorgio a Cremano Cappiello,"Via Cappiello, 39, 80046 San Giorgio A Cremano , NA","081 6075764, ",40.82937,14.32678,https://www.pampanorama.it/punti-vendita/s-g-a-cremano-v-cappiello-retail-pro,"Via Francesco Cappiello, 37, 80046 San Giorgio a Cremano NA, Italy",37,Via Francesco Cappiello,San Giorgio a Cremano,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80046.0,40.8293562,14.3267515,67e2d42cc1670104499c145c
Napoli Rubinacci,"Via Cupa Rubinacci, 103, 80147 Napoli , NA","0812561653, ",40.83574,14.33076,https://www.pampanorama.it/punti-vendita/napoli-via-rubinacci-retail-pro,"Via San Martino, 145, 80046 San Giorgio a Cremano NA, Italy",145,Via San Martino,San Giorgio a Cremano,San Giorgio a Cremano,Città Metropolitana di Napoli,Campania,Italy,IT,80046.0,40.8356175,14.3307528,67e2d42cc1670104499c1461
San Giorgio Tufarelli,"Via Tufarelli, 78, 80046 San Giorgio A C , NA","081 5960059, ",40.84421,14.34622,https://www.pampanorama.it/punti-vendita/san-giorgio-via-tufarelli-retail-pro,"Via Tufarelli, 78, 80046 San Giorgio a Cremano NA, Italy",78,Via Tufarelli,San Giorgio a Cremano,San Giorgio a Cremano,Città Metropolitana di Napoli,Campania,Italy,IT,80046.0,40.844182,14.3461642,67e2d42cc1670104499c1466
Napoli Bartolo Longo,"Via Bartolo Longo, 298, 80147 Napoli , NA","081 5965451, ",40.84483,14.33866,https://www.pampanorama.it/punti-vendita/napoli-vi-bartolo-longo-retail-pro,"Via Bartolo Longo, 298, 80147 Napoli NA, Italy",298,Via Bartolo Longo,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80147.0,40.8447867,14.3385901,67e2d42cc1670104499c146b
S.Giovanni A Teduccio,"Via Delle Marinare, 222, 80146 Napoli , NA","081 5721988, ",40.83763,14.31342,https://www.pampanorama.it/punti-vendita/s-giovanni-a-teduccio-retail-pro,"Via delle Repubbliche Marinare, 216, 80146 Napoli NA, Italy",216,Via delle Repubbliche Marinare,Napoli,San Giorgio a Cremano,Città Metropolitana di Napoli,Campania,Italy,IT,80146.0,40.8376083,14.3133171,67e2d42cc1670104499c1470
Napoli Cilea,"Via Francesco Cilea, 85/87/89, 80127 Napoli , NA","0813508750, ",40.84318,14.2241,https://www.pampanorama.it/punti-vendita/napoli-cilea-retail-pro,"Via Francesco Cilea, 85, 80127 Napoli NA, Italy",85,Via Francesco Cilea,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80127.0,40.8431472,14.2240946,67e2d42cc1670104499c1475
Pam Casalgrande,"Via Aldo Moro, 2 - 42013 Casalgrande (RE), Casalgrande , RE",", ",44.589649,10.739565,https://www.pampanorama.it/punti-vendita/pam-casalgrande,"Via Aldo Moro, 2, 42013 Casalgrande RE, Italy",2,Via Aldo Moro,Casalgrande,Casalgrande,Provincia di Reggio Emilia,Emilia-Romagna,Italy,IT,42013.0,44.5895823,10.7396779,67e2d42cc1670104499c147a
Napoli Sigmund Freud,"Sigmund Freud, 81/89, 80131 Napoli , NA","081 5457330, ",40.86035,14.21916,https://www.pampanorama.it/punti-vendita/napoli-via-sigmund-freud-retail-pro,"Via Sigmund Freud, 81/89, 80131 Napoli NA, Italy",81/89,Via Sigmund Freud,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80131.0,40.8604133,14.219137,67e2d42cc1670104499c147f
Pam Cercola,"Via Silvio Pellico, 25 Cercola (NA), Cercola ,",", ",,,https://www.pampanorama.it/punti-vendita/pam-cercola,"Via S. Pellico, 25, 80040 Cercola NA, Italy",25,Via S. Pellico,Cercola,Cercola,Città Metropolitana di Napoli,Campania,Italy,IT,80040.0,40.8587995,14.3595476,67e2d42cc1670104499c1484
Napoli Volpicella,"Via Volpicella, 344, 80147 Napoli , NA","0815962165, ",40.8488,14.32472,https://www.pampanorama.it/punti-vendita/napoli-via-volpicella-retail-pro,"Napoli - Via Volpicella , 429, 80147 Napoli NA, Italy",,,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80147.0,40.848839,14.324661,67e2d42cc1670104499c1489
Napoli C.P. Casanova,"Via Calata Ponte Casanova, 05/13, 80143 Napoli , NA","081 283976, ",40.857,14.27093,https://www.pampanorama.it/punti-vendita/napoli-via-c-p-casanova-retail-pro,"Vico Vasto a Casanova, 2, 80143 Napoli NA, Italy",2,Vico Vasto a Casanova,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80143.0,40.857048,14.2706984,67e2d42cc1670104499c148e
Napoli Fiumicello,"Via Fiumicello A Loreto, 7, 80142 Napoli , NA","081 281081, ",40.847,14.26992,https://www.pampanorama.it/punti-vendita/napoli-via-fiumicello-retail-pro,"Via Loreto, 7, 80142 Napoli NA, Italy",7,Via Loreto,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80142.0,40.8470314,14.2699546,67e2d42cc1670104499c1493
Ottaviano San Leonardo,"Via S.Leonardo, 117, 80044 Ottaviano , NA","081 5289636, ",40.84755,14.48496,https://www.pampanorama.it/punti-vendita/ottaviano-san-leonardo-retail-pro,"Via S. Leonardo, 166, 80044 Ottaviano NA, Italy",166,Via San Leonardo,Ottaviano,Ottaviano,Città Metropolitana di Napoli,Campania,Italy,IT,80044.0,40.8475325,14.48501,67e2d42cc1670104499c1498
Napoli Caruso,"Via Severo Caruso, 4/8/10, 80129 Napoli , NA","810206295, ",40.84722,14.23204,https://www.pampanorama.it/punti-vendita/napoli-caruso-retail-pro,"Via Settimio Severo Caruso, 6, 80129 Napoli NA, Italy",6,Via Settimio Severo Caruso,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80129.0,40.847201,14.232047,67e2d42dc1670104499c149d
Vignola,"Via Falcone e Borsellino, 94, 41058 Vignola , MO","059/9772451, ",44.4888992,11.0018997,https://www.pampanorama.it/punti-vendita/vignola,"Via per Sassuolo, 968, 41058 Vignola MO, Italy",968,Via per Sassuolo,Vignola,Vignola,Provincia di Modena,Emilia-Romagna,Italy,IT,41058.0,44.4887924,11.0018073,67e2d42dc1670104499c14a2
Pianura - Napoli,"Via Parmenide - 4/6, Napoli, Napoli , NA","0815888956, ",40.854813,14.174683,https://www.pampanorama.it/punti-vendita/pianura-napoli,"Via Parmenide, 10, 80126 Napoli NA, Italy",10,Via Parmenide,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80126.0,40.8546944,14.1746912,67e2d42dc1670104499c14a7
Napoli Francesco Arnaldi,"Via Francesco Arnaldi, 44/46, Napoli , NA",", ",40.8582,14.16774,https://www.pampanorama.it/punti-vendita/napoli-francesco-arnaldi,"Via Carlo Carrà, 46, 80126 Napoli NA, Italy",46,Via Carlo Carrà,Napoli,Napoli,Città Metropolitana di Napoli,Campania,Italy,IT,80126.0,40.8581521,14.1677096,67e2d42dc1670104499c14ac
Parma,"Via Silvio Pellico, 20, 43100 Parma , PR","0521/947811, ",44.7937012,10.3048,https://www.pampanorama.it/punti-vendita/parma,"Via Silvio Pellico, 28, 43125 Parma PR, Italy",28,Via Silvio Pellico,Parma,Parma,Provincia di Parma,Emilia-Romagna,Italy,IT,43125.0,44.7941098,10.3046465,67e2d42dc1670104499c14b1
Pam Carpaneto,"Via Pallastrelli, 1 – 29013 Carpaneto Piacentino (PC), Piacenza ,",", ",,,https://www.pampanorama.it/punti-vendita/pam-carpaneto,"Via Pallastrelli, 1, 29013 Carpaneto Piacentino PC, Italy",1,Via Pallastrelli,Carpaneto Piacentino,Carpaneto Piacentino,Provincia di Piacenza,Emilia-Romagna,Italy,IT,29013.0,44.9137366,9.7859025,67e2d42dc1670104499c14b6
PAM XXIV Maggio,"Via XXIV Maggio, 20 - 29021 Bettola (PC), Bettola , Piacenza",", ",,,https://www.pampanorama.it/punti-vendita/pam-xxiv-maggio,"Via XXIV Maggio, 20, 29012 Bettola PC, Italy",20,Via XXIV Maggio,Bettola,Bettola,Provincia di Piacenza,Emilia-Romagna,Italy,IT,29012.0,44.7771955,9.6051395,67e2d42dc1670104499c14bb
Pam Gossolengo,"Via dei Rivi, 62 - 29020 Gossolengo (PC), Gossolengo , Piacenza",", ",44.999954,9.61959,https://www.pampanorama.it/punti-vendita/pam-gossolengo,"Via Grazia Deledda, 25, 29020 Gossolengo PC, Italy",25,Via Grazia Deledda,Gossolengo,Gossolengo,Provincia di Piacenza,Emilia-Romagna,Italy,IT,29020.0,44.9998809,9.6197305,67e2d42dc1670104499c14c0
Battipaglia,"Corso Garibaldi - 21, Battipaglia , SA","334 94 10 261, ",40.61022,14.98476,https://www.pampanorama.it/punti-vendita/battipaglia,"Via Giuseppe Garibaldi, 39, 84091 Battipaglia SA, Italy",39,Via Giuseppe Garibaldi,Battipaglia,Battipaglia,Provincia di Salerno,Campania,Italy,IT,84091.0,40.6102449,14.984783,67e2d42dc1670104499c14c5
Eboli Bruno Buozzi,"Via Bruno Buozzi, 9, 84025 Eboli , SA","0828-1892524, ",40.615665,15.054671,https://www.pampanorama.it/punti-vendita/eboli-via-bruno-buozzi-retail-pro,"Via Bruno Buozzi, 9, 84025 Eboli SA, Italy",9,Via Bruno Buozzi,Eboli,Eboli,Provincia di Salerno,Campania,Italy,IT,84025.0,40.6156538,15.0546605,67e2d42dc1670104499c14ca
Eboli,"Via Veneto, 63, Eboli , SA",", ",40.61774,15.061038,https://www.pampanorama.it/punti-vendita/eboli-veneto,"Via Vittorio Veneto, 55, 84025 Eboli SA, Italy",55,Via Vittorio Veneto,Eboli,Eboli,Provincia di Salerno,Campania,Italy,IT,84025.0,40.6177859,15.0609607,67e2d42dc1670104499c14cf
Eboli Tavoliello,"Via Tavoliello, 195, 84025 Eboli , SA","0828 366397, ",40.61653,15.07191,https://www.pampanorama.it/punti-vendita/eboli-via-tavoliello-retail-pro,"Viale Tavoliello, 195, 84025 Eboli SA, Italy",195,Viale Tavoliello,Eboli,Eboli,Provincia di Salerno,Campania,Italy,IT,84025.0,40.6167168,15.0715347,67e2d42dc1670104499c14d4
Imola,"Via Zello, 1/A, 40026 Imola , BO","054/231054, ",44.3440018,11.7396002,https://www.pampanorama.it/punti-vendita/imola,"Viale Carlo Pisacane, 999, 40026 Imola BO, Italy",999,Viale Carlo Pisacane,Imola,Imola,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40026.0,44.3439089,11.7394169,67e2d42dc1670104499c14d9
Imola Punta,"Via Punta, 1 – 40026 Imola (BO), Imola , BO",", ",,,https://www.pampanorama.it/punti-vendita/imola-punta,"Via Punta, 1, 40026 Imola BO, Italy",1,Via Punta,Imola,Imola,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40026.0,44.3417357,11.6866017,67e2d42dc1670104499c14de
Omignano Scalo Via Nazionale,"Via Nazionale, 6, 84070 Omignano Scalo , SA","0974 716028, ",40.25736,15.13359,https://www.pampanorama.it/punti-vendita/omignano-scalo-via-nazionale-retail-pro,"Via Nazionale, 9, 84060 Fasana SA, Italy",9,Via Nazionale,Fasana,Omignano,Provincia di Salerno,Campania,Italy,IT,84060.0,40.2573042,15.133656,67e2d42dc1670104499c14e3
Capaccio Fraz. Licinella,"Via Cesare Pavese, 48, 84047 Capaccio Paestum , SA","0828 721155, ",40.40413,15.00495,https://www.pampanorama.it/punti-vendita/capaccio-fraz-licinella-retail-pro,"Via Cesare Pavese, 48, 84047 Capaccio Paestum SA, Italy",48,Via Cesare Pavese,Licinella-Torre di Paestum,Capaccio Paestum,Provincia di Salerno,Campania,Italy,IT,84047.0,40.4041529,15.0049614,67e2d42dc1670104499c14e8
Ravenna Diaz,"Via Armando Diaz, 19-21, 48121 Ravenna , RA","0544 1881618, ",44.418054,12.201348,https://www.pampanorama.it/punti-vendita/pam-local-ravenna-diaz,"Via Armando Diaz, 17, 48121 Ravenna RA, Italy",17,Via Armando Diaz,Ravenna,Ravenna,Provincia di Ravenna,Emilia-Romagna,Italy,IT,48121.0,44.4180726,12.2013771,67e2d42dc1670104499c14ed
Pam Fogliano,"Via Louis Daniel Armstrong 2, 42122 Fogliano (RE), Fogliano , RE",", ",44.651803,10.643837,https://www.pampanorama.it/punti-vendita/pam-fogliano,"Via Louis Daniel Armstrong, 2/L, 42123 Fogliano RE, Italy",2,Via Louis Daniel Armstrong,Fogliano,Reggio nell'Emilia,Provincia di Reggio Emilia,Emilia-Romagna,Italy,IT,42123.0,44.65185109999999,10.64395,67e2d42ec1670104499c14f2
Pam Quinzio,"Via Alberto Ferioli, 18 – 42122 Reggio nell’Emilia (RE) Centro commerciale Quinzio, Reggio Emilia , reggio emilia",", ",,,https://www.pampanorama.it/punti-vendita/pam-quinzio,"Via Alberto Ferioli, 18, 42122 Reggio Emilia RE, Italy",18,Via Alberto Ferioli,Reggio Emilia,Reggio nell'Emilia,Provincia di Reggio Emilia,Emilia-Romagna,Italy,IT,42122.0,44.6831061,10.6626219,67e2d42ec1670104499c14f7
Reggio Emilia,"Via Emilia San Pietro, 49, 42121 Reggio Emilia , RE","0522/046413, ",44.6959,10.6377001,https://www.pampanorama.it/punti-vendita/reggio-emilia,"Via Giorgione, 2, 42121 Reggio Emilia RE, Italy",2,Via Giorgione,Reggio Emilia,Reggio nell'Emilia,Provincia di Reggio Emilia,Emilia-Romagna,Italy,IT,42121.0,44.69584,10.637631,67e2d42ec1670104499c14fc
Atripalda Cassese,"Piazza Cassese, 10, 83042 Atripalda , AV","0825 610237, ",40.91825,14.82955,https://www.pampanorama.it/punti-vendita/atripalda-p-zza-cassese-retail-pro,"Via Leopoldo Cassese, 14, 83042 Atripalda AV, Italy",14,Via Leopoldo Cassese,Atripalda,Atripalda,Provincia di Avellino,Campania,Italy,IT,83042.0,40.918199,14.8295486,67e2d42ec1670104499c1501
Atripalda San Lorenzo,"Via San Lorenzo, 36, 83042 Atripalda , AV","0825 1728016, ",40.9201964,14.8248815,https://www.pampanorama.it/punti-vendita/atripalda-san-lorenzo,"Contrada S. Lorenzo, 36, 83042 Atripalda AV, Italy",36,Contrada San Lorenzo,Atripalda,Atripalda,Provincia di Avellino,Campania,Italy,IT,83042.0,40.9202277,14.8254795,67e2d42ec1670104499c1506
Avellino Due Principati,"Via Due Principati, 32, 83100 Avellino , AV","0825 769123, ",40.91306,14.79231,https://www.pampanorama.it/punti-vendita/avellino-san-tommaso-retail-pro,"Via dei Due Principati, 34, 83100 Avellino AV, Italy",34,Via dei Due Principati,Avellino,Avellino,Provincia di Avellino,Campania,Italy,IT,83100.0,40.913025,14.7923584,67e2d42ec1670104499c150b
Contrada Nazionale,"Via Nazionale, 27, 83020 Contrada , AV","0825 674492, ",40.87047,14.77744,https://www.pampanorama.it/punti-vendita/contrada-via-nazionale-retail-pro,"PAM Franchising, Via Nazionale, 27, 83020 Contrada AV, Italy",27,Via Nazionale,Contrada,Contrada,Provincia di Avellino,Campania,Italy,IT,83020.0,40.8702932,14.7775012,67e2d42ec1670104499c1510
Ariano Irpino Fontananuova,"Via Fontananuova, SNC, 83031 Ariano Irpino , AV","0825872203, ",41.1552,15.09833,https://www.pampanorama.it/punti-vendita/ariano-irpino-fontananuova-retail-pro,"Via Fontananuova, 68, 83031 Ariano Irpino AV, Italy",68,Via Fontananuova,,Ariano Irpino,Provincia di Avellino,Campania,Italy,IT,83031.0,41.1550695,15.098451,
Ariano Irpino Cda Cardito,"Via Cardito, SNC, 83031 Ariano Irpino , AV","0825892222, ",41.13713,15.08192,https://www.pampanorama.it/punti-vendita/ariano-irpino-cda-cardito-retail-pro,"Via Cardito, 96, 83031 Ariano Irpino AV, Italy",96,Via Cardito,Ariano Irpino,Ariano Irpino,Provincia di Avellino,Campania,Italy,IT,83031.0,41.1371071,15.0818748,67e2d42ec1670104499c1515
